game,top_1_game,top_1_sim,top_2_game,top_2_sim,top_3_game,top_3_sim,top_4_game,top_4_sim,top_5_game,top_5_sim,top_6_game,top_6_sim,top_7_game,top_7_sim,top_8_game,top_8_sim,top_9_game,top_9_sim,top_10_game,top_10_sim
TI5 - Player Profiles VirtusPro - FNG,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TOME Immortal Arena,The Lord of the Rings Online,0.15223457863055312,Strife,0.15196127435433565,FreeStyle2 Street Basketball,0.14155317568805326,Magicka Wizard Wars,0.10469149749766596,War Thunder,0.10251666110132854,GunZ 2 The Second Duel,0.09627109406322641,Nosgoth,0.09622067549379937,Dota 2,0.06952973878244664,Neverwinter,0.06769331876137658,Spiral Knights,0.05876132476061701
TRAUMA,Vessel,0.5473362218577114,Crayon Physics Deluxe,0.4705194003844739,And Yet It Moves,0.42834818864010255,Plain Sight,0.42323159561136575,Cortex Command,0.4230171921954166,Shatter,0.4216788550273196,Penumbra Overture,0.40882919042723886,Steel Storm Burning Retribution,0.4058447730479889,Osmos,0.398216819317689,Frozen Synapse,0.38272076437175007
Tabletop Simulator,Robot Roller-Derby Disco Dodgeball,0.23560442855233807,Monaco,0.2247378943881749,Guns of Icarus Online,0.217650125315664,Gauntlet ,0.1864525306215832,The Ship,0.18409534042818898,Fallout 4,0.17913884406172806,Star Wars - Battlefront II,0.17333262598522142,Castle Crashers,0.15976694992394538,Starbound - Unstable,0.15702250911539115,The Binding of Isaac,0.15698398213258807
Tactical Intervention,No More Room in Hell,0.26825503963343544,Dungeon Party,0.24025134893100342,Red Crucible Firestorm,0.24019161108943593,Unturned,0.22738078727432096,Fistful of Frags,0.22535323879832858,Velvet Sundown,0.22482680476404399,HOMEFRONT Demo,0.2178954319240369,Bullet Run,0.2178954319240369,Brawl Busters,0.2178954319240369,Dungeon Fighter Online,0.2178954319240369
Take On Helicopters,Arma Gold Edition,0.5548559764572532,Alpha Prime,0.5413901162600578,UFO Afterlight,0.5322920901173571,Arma Tactics,0.5160915604835992,Carrier Command Gaea Mission,0.35467230523873405,Alpha Protocol,0.31091485640007466,Operation Flashpoint Dragon Rising,0.30004141775225135,The Fish Fillets 2,0.28508851827213816,ACE COMBAT ASSAULT HORIZON Enhanced Edition,0.2830094622988465,Superfrog HD,0.254622686534965
Takedown Red Sabre,Red Orchestra 2 Heroes of Stalingrad - Single Player,0.14398313431219473,Sniper Elite V2,0.14260417999343195,Enclave,0.12467289624824839,ORION Prelude,0.12002258179718568,PAYDAY The Heist,0.118319007039697,Insurgency,0.11407189400249562,Grand Theft Auto IV,0.11319573375194296,Rising Storm/Red Orchestra 2 Multiplayer,0.11224540006038802,Killing Floor Mod Defence Alliance 2,0.10696174943695538,Metro 2033,0.10635842431679202
Tales Runner,RaceRoom Racing Experience ,0.11266484234648261,Robocraft,0.09424837126652084,Loadout,0.08804001493099728,Unturned,0.06329256706928044,Warframe,0.05093094923252738,War Thunder,0.04877560661692917,Heroes & Generals,0.041080613275906695,Dota 2,0.04017187318710876,Ys Origin,0.0,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0.0
Tales from Space Mutant Blobs Attack,Tower of Guns,0.4062585914367663,The Novelist,0.36830468953854273,Teleglitch Die More Edition,0.3548075535316995,Jazzpunk,0.34702072050639643,Insanely Twisted Shadow Planet,0.3416399325295511,Eldritch,0.2842319006984741,OlliOlli,0.2817063621837191,SteamWorld Dig,0.24762692710222323,Dust An Elysian Tail,0.24616648388404536,Oddworld Abe's Oddysee,0.240472099000409
Tales from the Borderlands,The Walking Dead,0.2622261559637027,Broken Age,0.26183202903873726,The Wolf Among Us,0.24968167536407115,The Walking Dead Season Two,0.23575815983920995,Back to the Future Ep 4 - Double Visions,0.22492106629366665,Back to the Future Ep 1 - It's About Time,0.22296465516856026,Poker Night 2,0.2207984453361019,Borderlands The Pre-Sequel,0.22014852884899042,Back to the Future Ep 5 - OUTATIME,0.2196864738443969,Dishonored,0.21260363240502142
